"filename", "language", "XML", "C++", "C", "PL/SQL", "Makefile", "comment", "blank", "total"
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\admin\oraaccess.xsd", "XML", -262, 0, 0, 0, 0, -20, -26, -308
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\cdemo81.c", "C", 0, 0, -396, 0, 0, -92, -75, -563
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\demo.mk", "Makefile", 0, 0, 0, 0, -60, -45, -24, -129
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occidemo.sql", "PL/SQL", 0, 0, 0, -184, 0, -17, -50, -251
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occidemod.sql", "PL/SQL", 0, 0, 0, -39, 0, -12, -13, -64
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occidml.cpp", "C++", 0, -272, 0, 0, 0, -35, -50, -357
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occiobj.cpp", "C++", 0, -197, 0, 0, 0, -25, -37, -259
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\oraaccess.xml", "XML", -19, 0, 0, 0, 0, -21, -3, -43
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jzndom.h", "C++", 0, -874, 0, 0, 0, -3296, -418, -4588
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jznerr.h", "C++", 0, -581, 0, 0, 0, -278, -53, -912
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jznev.h", "C++", 0, -565, 0, 0, 0, -1469, -240, -2274
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jznotn.h", "C++", 0, -21, 0, 0, 0, -9, -11, -41
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jzntypes.h", "C++", 0, -476, 0, 0, 0, -365, -67, -908
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ldap.h", "C++", 0, -852, 0, 0, 0, -146, -197, -1195
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\nzerror.h", "C++", 0, -480, 0, 0, 0, -275, -52, -807
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\nzt.h", "C++", 0, -384, 0, 0, 0, -988, -122, -1494
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\occi.h", "C++", 0, -18, 0, 0, 0, -44, -17, -79
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\occiAQ.h", "C++", 0, -290, 0, 0, 0, -42, -48, -380
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\occiCommon.h", "C++", 0, -843, 0, 0, 0, -65, -92, -1000
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\occiControl.h", "C++", 0, -1502, 0, 0, 0, -313, -421, -2236
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\occiData.h", "C++", 0, -813, 0, 0, 0, -227, -140, -1180
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\occiObjects.h", "C++", 0, -610, 0, 0, 0, -186, -115, -911
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oci.h", "C++", 0, -2380, 0, 0, 0, -1587, -586, -4553
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oci1.h", "C++", 0, -59, 0, 0, 0, -85, -39, -183
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oci8dp.h", "C++", 0, -71, 0, 0, 0, -208, -39, -318
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ociap.h", "C++", 0, -1688, 0, 0, 0, -10097, -634, -12419
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ociapr.h", "C++", 0, -95, 0, 0, 0, -45, -16, -156
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ocidef.h", "C++", 0, -307, 0, 0, 0, -491, -89, -887
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ocidem.h", "C++", 0, -61, 0, 0, 0, -38, -15, -114
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ocidfn.h", "C++", 0, -141, 0, 0, 0, -98, -28, -267
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ociextp.h", "C++", 0, -28, 0, 0, 0, -202, -53, -283
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ocijson.h", "C++", 0, -134, 0, 0, 0, -711, -54, -899
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ocikpr.h", "C++", 0, -90, 0, 0, 0, -47, -29, -166
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ociver.h", "C++", 0, -5, 0, 0, 0, -10, -5, -20
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ocixmldb.h", "C++", 0, -92, 0, 0, 0, -126, -35, -253
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ocixstream.h", "C++", 0, -456, 0, 0, 0, -1741, -95, -2292
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\odci.h", "C++", 0, -672, 0, 0, 0, -246, -135, -1053
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ons.h", "C++", 0, -294, 0, 0, 0, -2580, -190, -3064
